 AP   F1   A2   A3   A4   A5   A6   AB  TILT  T0   AV   F2   F3   F4   FZ   B1   B2   B3   B4   PH   DU   DP  OPENQ FNP  FNF  GNF GSPD
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  400    0  948 2956 3312  290   90   90  160  200    0   72   90   48  290  550    0   13 
   0  490    0    0    0    0    0    0    0  400    0  948 2956 3312  290   90   90  160  200    0   72   90   46  290  550    0   13 
   0  490    0    0    0    0    0    0    0  400    0  948 2956 3312  290   90   90  160  200    0   72   90   44  290  550    0   13 
   0  490    0    0    0    0    0    0    0  400    0  948 2956 3312  290   90   90  160  200    0   72   90   42  290  550    0   13 
   0  490    0    0    0    0    0    0    0  400    0  948 2956 3312  290   90   90  160  200    0   72   90   40  290  550    0   13 
   0  490    0    0    0    0    0    0    0  400    0  948 2956 3312  290   90   90  160  200    0   72   90   38  290  550    0   13 
   0  490    0    0    0    0    0    0    0  400    0  948 2956 3312  290   90   90  160  200    0   72   90   36  290  550    0   13 
   0  490    0    0    0    0    0    0    0  400    0  948 2956 3312  290   90   90  160  200    0   72   90   34  290  550    0   13 
   0  490    0    0    0    0    0    0    0  400    0  948 2956 3312  290   90   90  160  200    0   72   90   32  290  550    0   13 
   0  490    0    0    0    0    0    0    0  400    0  948 2956 3312  290   90   90  160  200    0   72   90   30  290  550    0   13 
   0  490    0    0    0    0    0    0    0  400    0  948 2956 3312  290   83   99  166  200    0   72   90   28  290  550    0   13 
   0  490    0    0    0    0    0    0    0  400    0  948 2956 3312  290   76  109  173  200    0   72   90   26  290  550    0   13 
   0  430    0    0    0    0    0    0    0  338    0 1117 2334 3300  290  130  280  360  200    0    1    0   50  290  550    0   13 
  34  452    0    0    0    0    0    0   25  337   11 1111 2366 3300  400  130  280  360  200    0    1   22   50  290  990    0   13 
  31  452    0    0    0    0    0    0   23  338   22 1113 2366 3300  400  130  280  360  200   31    9   14   50  290  990    0   13 
  27  452    0    0    0    0    0    0   20  338   32 1105 2377 3300  400  130  280  360  200   31    9    6   50  290  990    0   13 
  23  452    0    0    0    0    0    0   18  339   49 1098 2388 3300  400  130  280  360  200   31    9    0   50  290  990    0   13 
  19  452    0    0    0    0    0    0   15  340   52 1091 2399 3300  400  130  280  360  200   31    9    0   50  290  990    0   13 
  15  452    0    0    0    0    0    0   13  341   54 1084 2410 3300  400  130  280  360  200    7   18    0   50  290  990    0   13 
  11  452    0    0    0    0    0    0   11  341   57 1077 2421 3300  400  130  280  360  200    7   18    0   50  290  990    0   13 
   7  452    0    0    0    0    0    0    8  341   60 1070 2432 3300  400  130  280  360  200    7   18    0   50  290  990    0   13 
   3  452    0    0    0    0    0    0    6  341   60 1063 2443 3300  400  130  280  360  200    7   18    0   50  290  990    0   13 
   0  506    0    0    0    0    0    0    2  342   64 1055 2453 3300  369   64  189  294  200    7   18    0   50  290  866    0   13 
   0  555    0    0    0    0    0    0    2  342   64 1078 2518 3300  367   72  174  283  200    7   18    0   50  290  858    0   13 
   0  604    0    0    0    0    0    0    2  342   64 1101 2582 3300  366   79  159  273  200    7   18    0   50  290  854    0   13 
   0  653    0    0    0    0    0    0    2  343   64 1160 2647 3300  364   82  144  262  200    7   18    0   50  290  846    0   13 
   0  691    0    0    0    0    0    0    2  342   64 1220 2635 3300  362   86  129  251  200    7   18    0   50  290  838    0   13 
   0  680    0    0    0    0    0    0    2  343   64 1279 2624 3300  360   89  114  240  200    7   18    0   50  290  830    0   13 
   0  669    0    0    0    0    0    0    2  343   64 1339 2612 3300  359   92  100  230  200    7   18    0   50  290  826    0   13 
   0  659    0    0    0    0    0    0    2  343   64 1376 2601 3300  357   96  100  230  200    7   18    0   50  290  818    0   13 
   0  648    0    0    0    0    0    0    2  343   64 1421 2590 3300  355   99  100  230  200    7   18    0   50  290  810    0   13 
   0  637    0    0    0    0    0    0    2  343   64 1465 2578 3300  353  102  100  230  200    7   18    0   50  290  802    0   13 
   0  626    0    0    0    0    0    0    2  343   64 1510 2567 3300  352   95  100  230  200    7   18    0   50  290  798    0   13 
   0  616    0    0    0    0    0    0    2  343   64 1555 2556 3300  350   87  100  230  200    7   18    0   50  290  790    0   13 
   0  605    0    0    0    0    0    0    2  344   64 1600 2570 3300  348   80  100  230  200    7   18    0   50  290  782    0   13 
   0  594    0    0    0    0    0    0    2  344   64 1644 2584 3300  346   72  100  230  200    7   18    0   50  290  774    0   13 
   0  580    0    0    0    0    0    0    2  344   64 1569 2598 3300  351   64  100  230  200   32   10    0   50  290  794    0   13 
   0  567    0    0    0    0    0    0    2  346   64 1493 2612 3300  355   57  100  230  200   32   10    0   50  290  810    0   13 
   0  553    0    0    0    0    0    0    2  347   64 1417 2626 3300  360   49  100  230  200   32   10    0   50  290  830    0   13 
   0  540    0    0    0    0    0    0    2  348   64 1341 2640 3300  364   41  100  230  200   32   10    0   50  290  846    0   13 
   0  442    0    0    0    0    0    0    4  349   60 1202 2531 3300  400  130  400  760  200   32   10    0   50  290  990    0   13 
   0  442    0    0    0    0    0    0    4  351   60 1227 2525 3300  400  130  400  760  200   32   10    0   50  290  990    0   13 
   0  442    0    0    0    0    0    0    4  352   60 1253 2519 3300  400  130  400  760  200   32   10    0   50  290  990    0   13 
   0  442    0    0    0    0    0    0    4  353   60 1279 2512 3300  400  130  400  760  200   32   10    0   50  290  990    0   13 
   0  442    0    0    0    0    0    0    4  354   60 1305 2506 3300  400  130  400  760  200   32   10    0   50  290  990    0   13 
   0  442    0    0    0    0    0    0    4  355   60 1330 2499 3300  400  130  400  760  200   32   10    0   50  290  990    0   13 
   0  442    0    0    0    0    0    0    4  356   60 1356 2493 3300  400  130  400  760  200    3   26    0   50  290  990    0   13 
   0  442    0    0    0    0    0    0    4  355   60 1382 2487 3300  400  130  400  760  200    3   26    0   50  290  990    0   13 
   0  442    0    0    0    0    0    0    4  354   60 1408 2480 3300  400  130  400  760  200    3   26    0   50  290  990    0   13 
   0  442    0    0    0    0    0    0    4  353   60 1433 2474 3300  400  130  400  760  200    3   26    0   50  290  990    0   13 
   0  479    0    0    0    0    0    0    2  350   65 1561 2567 3300  369   49  249  479  200    3   26    0   50  290  866    0   13 
   0  500    0    0    0    0    0    0    2  345   65 1580 2560 3300  363   52  224  433  200    3   26    0   50  290  842    0   13 
   0  521    0    0    0    0    0    0    2  340   65 1599 2553 3300  357   54  199  386  200    3   26    0   50  290  818    0   13 
   0  536    0    0    0    0    0    0    2  334   65 1626 2545 3300  351   56  174  339  200    3   26    0   50  290  794    0   13 
   0  551    0    0    0    0    0    0    2  328   65 1653 2537 3300  345   58  149  293  200    3   26    0   50  290  770    0   13 
   0  566    0    0    0    0    0    0    2  322   65 1680 2529 3300  339   61  124  246  200    3   26    0   50  290  746    0   13 
   0  560    0    0    0    0    0    0    2  316   65 1697 2521 3300  332   63  100  200  200    3   26    0   50  290  718    0   13 
   0  554    0    0    0    0    0    0    2  311   65 1713 2513 3300  330   65  100  200  200    3   26    0   50  290  710    0   13 
   0  548    0    0    0    0    0    0    2  305   65 1729 2512 3300  328   67  100  200  200    3   26    0   50  290  702    0   13 
   0  542    0    0    0    0    0    0    2  300   65 1745 2511 3300  326   70  100  200  200    3   26    0   50  290  694    0   13 
   0  537    0    0    0    0    0    0    2  296   65 1762 2511 3300  323   70  100  200  200    3   26    0   50  290  682    0   13 
   0  531    0    0    0    0    0    0    2  291   65 1778 2510 3300  321   70  100  200  200    3   26    0   50  290  674    0   13 
   0  525    0    0    0    0    0    0    2  287   65 1786 2509 3300  319   70  100  200  200    3   26    0   50  290  666    0   13 
   0  519    0    0    0    0    0    0    2  284   65 1794 2508 3300  317   70  100  200  200    3   26    0   50  290  658    0   13 
   0  513    0    0    0    0    0    0    2  280   65 1803 2508 3300  321   70  100  200  200    3   26    0   50  290  674    0   13 
   0  507    0    0    0    0    0    0    2  276   65 1811 2507 3300  324   70  100  200  200    3   26    0   50  290  686    0   13 
   0  501    0    0    0    0    0    0    2  273   65 1821 2506 3300  328   70  100  200  200    3   26    0   50  290  702    0   13 
   0  495    0    0    0    0    0    0    2  270   65 1831 2505 3300  332   70  100  200  200    3   26    0   50  290  718    0   13 
   0  490    0    0    0    0    0    0    2  267   65 1841 2505 3300  336   66  100  200  200    3   26    0   50  290  734    0   13 
   0  484    0    0    0    0    0    0    2  264   65 1851 2504 3300  340   62  100  200  200    3   26    0   50  290  750    0   13 
   0  478    0    0    0    0    0    0    2  261   65 1861 2503 3300  344   58  100  200  200    3   26    0   50  290  766    0   13 
   0  472    0    0    0    0    0    0    2  260   65 1871 2456 3300  348   54  100  200  200    3   26    0   50  290  782    0   13 
   0  466    0    0    0    0    0    0    2  260   65 1881 2410 3300  352   50  100  200  200   31    8    0   50  290  798    0   13 
   0  478    0    0    0    0    0    0    2  261   65 1752 2363 3300  355   46  100  200  200   31    8    0   50  290  810    0   13 
   0  489    0    0    0    0    0    0    2  263   65 1624 2317 3300  359   42  100  200  200   31    8    0   50  290  826    0   13 
   0  501    0    0    0    0    0    0    2  265   65 1495 2270 3300  363   38  100  200  200   31    8    0   50  290  842    0   13 
   0  432    0    0    0    0    0    0    4  268   60 1378 2226 3300  400  130  280  360  200   31    8    0   50  290  990    0   13 
   0  432    0    0    0    0    0    0    4  271   60 1366 2242 3300  400  130  280  360  200   31    8    0   50  290  990    0   13 
   0  432    0    0    0    0    0    0    4  273   60 1350 2239 3300  400  130  280  360  200   31    8    0   50  290  990    0   13 
   0  432    0    0    0    0    0    0    4  276   60 1335 2237 3300  400  130  280  360  200   31    8    0   50  290  990    0   13 
   0  432    0    0    0    0    0    0    4  279   60 1319 2235 3300  400  130  280  360  200    2   16    0   50  290  990    0   13 
   0  432    0    0    0    0    0    0    4  281   60 1304 2232 3300  400  130  280  360  200    2   16    0   50  290  990    0   13 
   0  432    0    0    0    0    0    0    4  283   60 1288 2230 3300  400  130  280  360  200    2   16    0   50  290  990    0   13 
   0  432    0    0    0    0    0    0    4  284   60 1273 2228 3300  400  130  280  360  200    2   16    0   50  290  990    0   13 
   0  467    0    0    0    0    0    0    2  286   65 1257 2225 3300  369   46  189  274  200    2   16    0   50  290  866    0   13 
   0  464    0    0    0    0    0    0    2  287   65 1355 2271 3300  363   48  174  260  200    2   16    0   50  290  842    0   13 
   0  466    0    0    0    0    0    0    2  288   65 1439 2319 3300  357   49  159  246  200    2   16    0   50  290  818    0   13 
   0  468    0    0    0    0    0    0    2  289   65 1523 2367 3300  351   51  144  232  200    2   16    0   50  290  794    0   13 
   0  470    0    0    0    0    0    0    2  291   65 1608 2415 3300  345   52  129  218  200    2   16    0   50  290  770    0   13 
   0  475    0    0    0    0    0    0    2  292   65 1692 2462 3300  339   54  114  204  200    2   16    0   50  290  746    0   13 
   0  480    0    0    0    0    0    0    2  293   65 1680 2510 3300  332   55  100  190  200    2   16    0   50  290  718    0   13 
   0  484    0    0    0    0    0    0    2  294   65 1669 2514 3300  326   57  100  190  200    2   16    0   50  290  694    0   13 
   0  489    0    0    0    0    0    0    2  296   65 1657 2518 3300  320   58  100  190  200    2   16    0   50  290  670    0   13 
   0  494    0    0    0    0    0    0    2  298   65 1646 2521 3300  314   60  100  190  200    2   16    0   50  290  646    0   13 
   0  498    0    0    0    0    0    0    2  299   65 1617 2525 3300  308   60  100  190  200    2   16    0   50  290  622    0   13 
   0  477    0    0    0    0    0    0    2  301   65 1589 2529 3300  302   63  103  199  200    2   16    0   50  290  598    0   13 
   0  455    0    0    0    0    0    0    2  303   65 1559 2533 3300  296   66  106  208  200   42    8    0   50  290  574    0   13 
   0  433    0    0    0    0   10    0    2  306   63 1529 2536 3300  290   69  109  217  200   42    8    0   50  290  550    0   13 
